Name,Party,Ethnicity,Gender,Parliament_1,Parliament_2,Parliament_3,Parliament_4,Parliament_5,Parliament_6,Parliament_7,Parliament_8,Parliament_9,Parliament_10,Parliament_11,Parliament_12,Parliament_13,Parliament_14
Ch'ng Jit Koon,People's Action Party,Chinese,Male,,MP,MP,MP,MP,MP,MP,MP,,,,,,
Chua Sian Chin,People's Action Party,Chinese,Male,,MP,MP,MP,MP,MP,MP,,,,,,,
"Conceicao, J.F.",People's Action Party,Eurasian,Male,,MP,MP,MP,MP,,,,,,,,,
"Govindasamy, N.",People's Action Party,Indian,Male,,MP,MP,MP,,,,,,,,,,
Hon Sui Sen,People's Action Party,Chinese,Male,,MP,MP,MP,MP,,,,,,,,,
Hwang Soo Jin,People's Action Party,Chinese,Male,,MP,MP,MP,MP,,,,,,,,,
Lee Chiaw Meng,People's Action Party,Chinese,Male,,MP,MP,MP,MP,,,,,,,,,
Low Guan Onn,People's Action Party,Chinese,Male,,MP,,,,,,,,,,,,
Low Yong Nguan,People's Action Party,Chinese,Male,,MP,,,,,,,,,,,,
Mohd Ghazali Bin Ismail,People's Action Party,Malay,Male,,MP,,,,,,,,,,,,
Ong Soo Chuan,People's Action Party,Chinese,Male,,MP,MP,MP,,,,,,,,,,
Phua Bah Lee,People's Action Party,Chinese,Male,,MP,MP,MP,MP,MP,,,,,,,,
"Rodrigo, L.P.",People's Action Party,Eurasian,Male,,MP,MP,,,,,,,,,,,
Seah Mui Kok,People's Action Party,Chinese,Male,,MP,MP,MP,MP,,,,,,,,,
Sha'ari Bin Tadin,People's Action Party,Malay,Male,,MP,MP,MP,,,,,,,,,,
Sia Khoon Seong,People's Action Party,Chinese,Male,,MP,MP,MP,MP,MP,MP,,,,,,,
Tan H.H. Augustine,People's Action Party,Chinese,Male,,MP,MP,MP,MP,MP,MP,,,,,,,
Wong Lin Ken,People's Action Party,Chinese,Male,,MP,MP,,,,,,,,,,,
Yeo Choo Kok,People's Action Party,Chinese,Male,,MP,MP,MP,MP,MP,,,,,,,,
Yeo Toon Chia,People's Action Party,Chinese,Male,,MP,MP,MP,MP,MP,MP,MP,,,,,,
Ahmad Mattar,People's Action Party,Malay,Male,,,MP,MP,MP,MP,MP,MP,,,,,,
Ang Kok Peng,People's Action Party,Chinese,Male,,,MP,MP,MP,MP,,,,,,,,
Ivan Baptist,People's Action Party,Eurasian,Male,,,MP,MP,,,,,,,,,,
Chai Chong Yii,People's Action Party,Chinese,Male,,,MP,MP,MP,MP,,,,,,,,
Chin Harn Tong,People's Action Party,Chinese,Male,,,MP,MP,MP,MP,MP,MP,,,,,,
Lai Tai Chai,People's Action Party,Chinese,Male,,,MP,MP,MP,MP,,,,,,,,
Lee Yiok Seng,People's Action Party,Chinese,Male,,,MP,MP,MP,MP,MP,MP,,,,,,
Ong Leong Boon,People's Action Party,Chinese,Male,,,MP,MP,,,,,,,,,,
Ong Teng Cheong,People's Action Party,Chinese,Male,,,MP,MP,MP,MP,MP,MP,,,,,,
Phey Yew Kok,People's Action Party,Chinese,Male,,,MP,MP,,,,,,,,,,
Tan Eng Liang,People's Action Party,Chinese,Male,,,MP,MP,,,,,,,,,,
Ahmad Haleem,People's Action Party,Malay,Male,,,,MP,,,,,,,,,,
C.V. Devan Nair,People's Action Party,Indian,Male,,,,MP,MP,,,,,,,,,
"Chen Tien Lap, Bernard",People's Action Party,Chinese,Male,,,,MP,MP,MP,MP,MP,MP,,,,,
Goh Chok Tong,People's Action Party,Chinese,Male,,,,MP,MP,MP,MP,MP,MP,MP,MP,MP,MP,
Howe Yoon Chong,People's Action Party,Chinese,Male,,,,MP,MP,,,,,,,,,
Koh Lip Lin,People's Action Party,Chinese,Male,,,,MP,MP,MP,MP,MP,,,,,,
Lau Teik Soon,People's Action Party,Chinese,Male,,,,MP,MP,MP,MP,MP,,,,,,
Lim Chee Onn,People's Action Party,Chinese,Male,,,,MP,MP,MP,MP,MP,,,,,,
Mansor Haji Sukaimi,People's Action Party,Malay,Male,,,,MP,MP,,,,,,,,,
Ngeow Pack Hua,People's Action Party,Chinese,Male,,,,MP,,,,,,,,,,
Ow Chin Hock,People's Action Party,Chinese,Male,,,,MP,MP,MP,MP,MP,MP,,,,,
Rohan Bin Kamis,People's Action Party,Malay,Male,,,,MP,MP,,,,,,,,,
S. Dhanabalan,People's Action Party,Indian,Male,,,,MP,MP,MP,MP,MP,,,,,,
Sidek Bin Saniff,People's Action Party,Malay,Male,,,,MP,MP,MP,MP,MP,MP,,,,,
Tan Cheng San,People's Action Party,Chinese,Male,,,,MP,,,,,,,,,,
"Tan Keng Yam, Tony",People's Action Party,Chinese,Male,,,,MP,MP,MP,MP,MP,MP,MP,,,,
Tan Soo Khoon,People's Action Party,Chinese,Male,,,,MP,MP,MP,MP,MP,MP,MP,,,,
Teh Cheang Wan,People's Action Party,Chinese,Male,,,,MP,MP,MP,,,,,,,,
Teo Chong Tee,People's Action Party,Chinese,Male,,,,MP,MP,MP,MP,MP,,,,,,
"Yap Giau Cheng, Eugene",People's Action Party,Chinese,Male,,,,MP,MP,MP,MP,MP,MP,,,,,
Abbas Abu Amin,People's Action Party,Malay,Male,,,,,MP,MP,MP,,,,,,,
"Chau Sik Ting, Dr",People's Action Party,Chinese,Male,,,,,MP,,,,,,,,,
Goh Chee Wee,People's Action Party,Chinese,Male,,,,,MP,MP,MP,MP,MP,,,,,
S Jayakumar,People's Action Party,Indian,Male,,,,,MP,MP,MP,MP,MP,MP,MP,,,
J B Jeyaretnam,Workers' Party,Indian,Male,,,,,MP,MP,,,NCMP,,,,,
Lau Ping Sum,People's Action Party,Chinese,Male,,,,,MP,MP,MP,MP,,,,,,
