Name,Party,Ethnicity,Gender,Parliament_1,Parliament_2,Parliament_3,Parliament_4,Parliament_5,Parliament_6,Parliament_7,Parliament_8,Parliament_9,Parliament_10,Parliament_11,Parliament_12,Parliament_13,Parliament_14
Fatimah Lateef,People's Action Party,Malay,Female,,,,,,,,,,,MP,MP,MP,
Grace Fu Hai Yien,People's Action Party,Chinese,Female,,,,,,,,,,,MP,MP,MP,MP
Gautam Banerjee,NMP,Indian,Male,,,,,,,,,,,NMP,,,
Hri Kumar Nair,People's Action Party,Indian,Male,,,,,,,,,,,MP,MP,,
Kalyani K. Mehta,NMP,Indian,Female,,,,,,,,,,,NMP,,,
"Khew Teck Fook, Edwin",NMP,Chinese,Male,,,,,,,,,,,NMP,,,
Lam Pin Min,People's Action Party,Chinese,Male,,,,,,,,,,,MP,MP,MP,
Lee Bee Wah,People's Action Party,Chinese,Female,,,,,,,,,,,MP,MP,MP,
Ellen Lee,People's Action Party,Chinese,Female,,,,,,,,,,,MP,MP,,
Terry Lee,NMP,Chinese,Male,,,,,,,,,,,NMP,,,
Lee Yi Shyan,People's Action Party,Chinese,Male,,,,,,,,,,,MP,MP,MP,
Liang Eng Hwa,People's Action Party,Chinese,Male,,,,,,,,,,,MP,MP,MP,MP
Lim Biow Chuan,People's Action Party,Chinese,Male,,,,,,,,,,,MP,MP,MP,MP
Sylvia Lim,Workers' Party,Chinese,Female,,,,,,,,,,,NCMP,MP,MP,MP
Lim Wee Kiak,People's Action Party,Chinese,Male,,,,,,,,,,,MP,MP,MP,MP
Lui Tuck Yew,People's Action Party,Chinese,Male,,,,,,,,,,,MP,MP,,
Masagos Zulkifli Bin Masagos Mohamad,People's Action Party,Malay,Male,,,,,,,,,,,MP,MP,MP,MP
Muhammad Faishal Ibrahim,People's Action Party,Malay,Male,,,,,,,,,,,MP,MP,MP,MP
Michael Palmer,People's Action Party,Eurasian,Male,,,,,,,,,,,MP,MP,,
Jessie Phua,NMP,Chinese,Female,,,,,,,,,,,NMP,,,
Denise Phua Lay Peng,People's Action Party,Chinese,Female,,,,,,,,,,,MP,MP,MP,MP
Seah Kian Peng,People's Action Party,Chinese,Male,,,,,,,,,,,MP,MP,MP,MP
Siew Kum Hong,NMP,Chinese,Male,,,,,,,,,,,NMP,,,
Paulin Tay Straughan,NMP,Chinese,Female,,,,,,,,,,,NMP,,,
Jessica Tan Soon Neo,People's Action Party,Chinese,Female,,,,,,,,,,,MP,MP,MP,MP
Mildred Tan,NMP,Chinese,Female,,,,,,,,,,,NMP,,,
Sam Tan Chin Siong,People's Action Party,Chinese,Male,,,,,,,,,,,MP,MP,MP,
Josephine Teo,People's Action Party,Chinese,Female,,,,,,,,,,,MP,MP,MP,MP
Teo Ser Luck,People's Action Party,Chinese,Male,,,,,,,,,,,MP,MP,MP,
Teo Siong Seng,NMP,Chinese,Male,,,,,,,,,,,NMP,NMP,,
Thio Li-ann,NMP,Chinese,Female,,,,,,,,,,,NMP,,,
Viswa Sadasivan,NMP,Indian,Male,,,,,,,,,,,NMP,,,
Laurence Wee Yoke Thong,NMP,Chinese,Male,,,,,,,,,,,NMP,,,
Audrey Wong Wai Yen,NMP,Chinese,Female,,,,,,,,,,,NMP,,,
Alvin Yeo,People's Action Party,Chinese,Male,,,,,,,,,,,MP,MP,,
Joscelin Yeo,NMP,Chinese,Female,,,,,,,,,,,NMP,,,
Zaqy Mohamad,People's Action Party,Malay,Male,,,,,,,,,,,MP,MP,MP,MP
Ang Hin Kee,People's Action Party,Chinese,Male,,,,,,,,,,,,MP,MP,
Ang Wei Neng,People's Action Party,Chinese,Male,,,,,,,,,,,,MP,MP,MP
Chan Chun Sing,People's Action Party,Chinese,Male,,,,,,,,,,,,MP,MP,MP
Chen Show Mao,Workers' Party,Chinese,Male,,,,,,,,,,,,MP,MP,
Chia Shi-Lu,People's Action Party,Chinese,Male,,,,,,,,,,,,MP,MP,
Chia Yong Yong,NMP,Chinese,Female,,,,,,,,,,,,NMP,NMP,
Lina Chiam,Singapore People's Party,Chinese,Female,,,,,,,,,,,,NCMP,,
Thomas Chua Kee Seng,NMP,Chinese,Male,,,,,,,,,,,,NMP,NMP,
Faizah Jamal,NMP,Malay,Female,,,,,,,,,,,,NMP,NMP,
Nicholas Fang,NMP,Chinese,Male,,,,,,,,,,,,NMP,,
Foo Mee Har,People's Action Party,Chinese,Female,,,,,,,,,,,,MP,MP,MP
Gan Thiam Poh,People's Action Party,Chinese,Male,,,,,,,,,,,,MP,MP,MP
Gerald Giam Yean Song,Workers' Party,Chinese,Male,,,,,,,,,,,,NCMP,,MP
Heng Swee Keat,People's Action Party,Chinese,Male,,,,,,,,,,,,MP,MP,MP
Intan Azura Mokhtar,People's Action Party,Malay,Female,,,,,,,,,,,,MP,MP,
Janil Puthucheary,People's Action Party,Indian,Male,,,,,,,,,,,,MP,MP,MP
K Karthikeyan,NMP,Indian,Male,,,,,,,,,,,,NMP,NMP,
Janice Koh,NMP,Chinese,Female,,,,,,,,,,,,NMP,,
Kuik Shiao-Yin,NMP,Chinese,Female,,,,,,,,,,,,NMP,NMP,
Desmond Lee,People's Action Party,Chinese,Male,,,,,,,,,,,,MP,MP,MP
Lee Li Lian,Workers' Party,Chinese,Female,,,,,,,,,,,,MP,,
Laurence Lien,NMP,Chinese,Male,,,,,,,,,,,,NMP,,
Mary Liew,NMP,Chinese,Female,,,,,,,,,,,,NMP,,
Low Yen Ling,People's Action Party,Chinese,Female,,,,,,,,,,,,MP,MP,MP
Mohd Ismail Hussein,NMP,Malay,Male,,,,,,,,,,,,NMP,,
Muhamad Faisal Bin Abdul Manap,Workers' Party,Malay,Male,,,,,,,,,,,,MP,MP,MP
David Ong Kim Huat,People's Action Party,Chinese,Male,,,,,,,,,,,,MP,MP,
Ong Teng Koon,People's Action Party,Chinese,Male,,,,,,,,,,,,MP,MP,
Png Eng Huat,Workers' Party,Chinese,Male,,,,,,,,,,,,MP,MP,
Pritam Singh,Workers' Party,Indian,Male,,,,,,,,,,,,MP,MP,MP
R Dhinakaran,NMP,Indian,Male,,,,,,,,,,,,NMP,,
Sim Ann,People's Action Party,Chinese,Female,,,,,,,,,,,,MP,MP,MP
Sitoh Yih Pin,People's Action Party,Chinese,Male,,,,,,,,,,,,MP,MP,MP
Rita Soh Siow Lan,NMP,Chinese,Female,,,,,,,,,,,,NMP,,
Benedict Tan,NMP,Chinese,Male,,,,,,,,,,,,NMP,,
Tan Chuan-Jin,People's Action Party,Chinese,Male,,,,,,,,,,,,MP,MP,MP
Tan Kheng Boon Eugene,NMP,Chinese,Male,,,,,,,,,,,,NMP,,
Randolph Tan,NMP,Chinese,Male,,,,,,,,,,,,NMP,NMP,
Tan Su Shan,NMP,Chinese,Female,,,,,,,,,,,,NMP,,
Tan Tai Yong,NMP,Chinese,Male,,,,,,,,,,,,NMP,,
Patrick Tay Teck Guan,People's Action Party,Chinese,Male,,,,,,,,,,,,MP,MP,MP
Tin Pei Ling,People's Action Party,Chinese,Female,,,,,,,,,,,,MP,MP,MP
Edwin Tong Chun Fai,People's Action Party,Chinese,Male,,,,,,,,,,,,MP,MP,MP
Vikram Nair,People's Action Party,Indian,Male,,,,,,,,,,,,MP,MP,MP
Lawrence Wong,People's Action Party,Chinese,Male,,,,,,,,,,,,MP,MP,MP
Alex Yam Ziming,People's Action Party,Chinese,Male,,,,,,,,,,,,MP,MP,MP
Yaw Shin Leong,Workers' Party,Chinese,Male,,,,,,,,,,,,MP,,
Yee Jenn Jong,Workers' Party,Chinese,Male,,,,,,,,,,,,NCMP,,
Zainal Sapari,People's Action Party,Malay,Male,,,,,,,,,,,,MP,MP,
Amrin Amin,People's Action Party,Malay,Male,,,,,,,,,,,,,MP,
Azmoon Ahmad,NMP,Malay,Male,,,,,,,,,,,,,NMP,
Cheryl Chan Wei Ling,People's Action Party,Chinese,Female,,,,,,,,,,,,,MP,MP
Chee Hong Tat,People's Action Party,Chinese,Male,,,,,,,,,,,,,MP,MP
Cheng Li Hui,People's Action Party,Chinese,Female,,,,,,,,,,,,,MP,MP
Chong Kee Hiong,People's Action Party,Chinese,Male,,,,,,,,,,,,,MP,MP
Desmond Choo,People's Action Party,Chinese,Male,,,,,,,,,,,,,MP,MP
Darryl David,People's Action Party,Indian,Male,,,,,,,,,,,,,MP,MP
Arasu Duraisamy,NMP,Indian,Male,,,,,,,,,,,,,NMP,
Douglas Foo,NMP,Chinese,Male,,,,,,,,,,,,,NMP,
Ganesh Rajaram,NMP,Indian,Male,,,,,,,,,,,,,NMP,
Daniel Goh Pei Siong,Workers' Party,Chinese,Male,,,,,,,,,,,,,NCMP,
Terence Ho Wee San,NMP,Chinese,Male,,,,,,,,,,,,,NMP,
Koh Poh Koon,People's Action Party,Chinese,Male,,,,,,,,,,,,,MP,MP
Kok Heng Leun,NMP,Chinese,Male,,,,,,,,,,,,,NMP,NMP
Kwek Hian Chuan Henry,People's Action Party,Chinese,Male,,,,,,,,,,,,,MP,
Lim Sun Sun,NMP,Chinese,Female,,,,,,,,,,,,,NMP,
Mahdev Mohan,NMP,Indian,Male,,,,,,,,,,,,,NMP,
Mohamed Irshad,NMP,Malay,Male,,,,,,,,,,,,,NMP,
Murali Pillai,People's Action Party,Indian,Male,,,,,,,,,,,,,MP,MP
Ng Chee Meng,People's Action Party,Chinese,Male,,,,,,,,,,,,,MP,
Louis Ng Kok Kwang,People's Action Party,Chinese,Male,,,,,,,,,,,,,MP,MP
Anthea Ong,NMP,Chinese,Female,,,,,,,,,,,,,NMP,
Ong Ye Kung,People's Action Party,Chinese,Male,,,,,,,,,,,,,MP,MP
Joan Pereira,People's Action Party,Eurasian,Female,,,,,,,,,,,,,MP,MP
Leon Perera,Workers' Party,Eurasian,Male,,,,,,,,,,,,,NCMP,MP
Irene Quay Siew Ching,NMP,Chinese,Female,,,,,,,,,,,,,NMP,
Rahayu Mahzam,People's Action Party,Malay,Female,,,,,,,,,,,,,MP,MP
Saktiandi Supaat,People's Action Party,Malay,Male,,,,,,,,,,,,,MP,MP
Sun Xueling,People's Action Party,Chinese,Female,,,,,,,,,,,,,MP,MP
Dennis Tan Lip Fong,Workers' Party,Chinese,Male,,,,,,,,,,,,,NCMP,MP
Tan Wu Meng,People's Action Party,Chinese,Male,,,,,,,,,,,,,MP,MP
K Thanaletchimi,NMP,Indian,Female,,,,,,,,,,,,,NMP,
Walter Theseira,NMP,Eurasian,Male,,,,,,,,,,,,,NMP,
Yee Chia Hsing,People's Action Party,Chinese,Male,,,,,,,,,,,,,MP,
Yip Pin Xiu,NMP,Chinese,Female,,,,,,,,,,,,,NMP,
Melvin Yong Yik Chye,People's Action Party,Chinese,Male,,,,,,,,,,,,,MP,MP
Edward Chia Bing Hui,People's Action Party,Chinese,Male,,,,,,,,,,,,,,MP
Chua Kheng Wee Louis,Workers' Party,Chinese,Male,,,,,,,,,,,,,,MP
Eric Chua,People's Action Party,Chinese,Male,,,,,,,,,,,,,,MP
Gan Siow Huang,People's Action Party,Chinese,Female,,,,,,,,,,,,,,MP
Derrick Goh,People's Action Party,Chinese,Male,,,,,,,,,,,,,,MP
He Ting Ru,Workers' Party,Chinese,Female,,,,,,,,,,,,,,MP
Shawn Huang Wei Zhong,People's Action Party,Chinese,Male,,,,,,,,,,,,,,MP
Raeesah Khan,Workers' Party,Chinese,Female,,,,,,,,,,,,,,MP
Leong Mun Wai,Progress Singapore Party,Chinese,Male,,,,,,,,,,,,,,NCMP
Assoc Prof Jamus Jerome Lim,Workers' Party,Chinese,Male,,,,,,,,,,,,,,MP
Mohd Fahmi Bin Aliman,People's Action Party,Malay,Male,,,,,,,,,,,,,,MP
Nadia Ahmad Samdin,People's Action Party,Malay,Female,,,,,,,,,,,,,,MP
Ng Ling Ling,People's Action Party,Chinese,Female,,,,,,,,,,,,,,MP
Rachel Ong,People's Action Party,Chinese,Female,,,,,,,,,,,,,,MP
Hazel Poa,Progress Singapore Party,Chinese,Female,,,,,,,,,,,,,,NCMP
Poh Li San,People's Action Party,Chinese,Female,,,,,,,,,,,,,,MP
Sharael Taha,People's Action Party,Malay,Male,,,,,,,,,,,,,,MP
Hany Soh,People's Action Party,Chinese,Female,,,,,,,,,,,,,,MP
Alvin Tan,People's Action Party,Chinese,Male,,,,,,,,,,,,,,MP
Carrie Tan,People's Action Party,Chinese,Female,,,,,,,,,,,,,,MP
Desmond Tan,People's Action Party,Chinese,Male,,,,,,,,,,,,,,MP
Tan Kiat How,People's Action Party,Chinese,Male,,,,,,,,,,,,,,MP
Tan See Leng,People's Action Party,Chinese,Male,,,,,,,,,,,,,,MP
Wan Rizal,People's Action Party,Malay,Male,,,,,,,,,,,,,,MP
Don Wee,People's Action Party,Chinese,Male,,,,,,,,,,,,,,MP
Xie Yao Quan,People's Action Party,Chinese,Male,,,,,,,,,,,,,,MP
Yeo Wan Ling,People's Action Party,Chinese,Female,,,,,,,,,,,,,,MP
Yip Hon Weng,People's Action Party,Chinese,Male,,,,,,,,,,,,,,MP
Zhulkarnain Abdul Rahim,People's Action Party,Malay,Male,,,,,,,,,,,,,,MP
