Name,Party,Ethnicity,Gender,Type,Parliament,Type,Ministry_1,Ministry_2,Ministry_3,Title_1,Title_2,Title_3
Ng Ling Ling,People's Action Party,Chinese,Female,MP,14,Backbencher,,,,,,
Ong Ye Kung,People's Action Party,Chinese,Male,MP,14,Cabinet,Transport,,,Minister,,
Patrick Tay,People's Action Party,Chinese,Male,MP,14,Backbencher,Education,Home Affairs,Law,GPC Chairperson,GPC Member,
Poh Li San,People's Action Party,Chinese,Female,MP,14,Backbencher,,,,,,
Pritam Singh,Workers' Party,Indian,Male,MP,14,Opposition,,,,,,
Rachel Ong,People's Action Party,Chinese,Female,MP,14,Backbencher,,,,,,
Raeesah Khan,Workers' Party,Chinese,Female,MP,14,Backbencher,,,,,,
Rahayu Mahzam,People's Action Party,Malay,Female,MP,14,Cabinet,Health,,,Parliamentary Secretaries,,
S. Iswaran,People's Action Party,Indian,Male,MP,14,Cabinet,Communications & Information,,,Minister,,
Saktiandi Supaat,People's Action Party,Malay,Male,MP,14,Backbencher,,,,,,
Seah Kian Peng,People's Action Party,Chinese,Male,MP,14,Backbencher,Communications & Information,Social & Family Development,,GPC Member,GPC Chairperson,
Mohamed Sharael Taha,People's Action Party,Malay,Male,MP,14,Backbencher,,,,,,
Shawn Huang,People's Action Party,Chinese,Male,MP,14,Backbencher,,,,,,
Sim Ann,People's Action Party,Chinese,Female,MP,14,Cabinet,National Development,Communications & Information,,Senior Minister of State,Senior Minister of State,
Sitoh Yih Pin,People's Action Party,Chinese,Male,MP,14,Backbencher,"Culture, Community and Youth",Home Affairs,Law,GPC Chairperson,GPC Member,
Sun Xueling,People's Action Party,Chinese,Female,MP,14,Cabinet,Education,Social & Family Development,,Minister of State,Minister of State,
Sylvia Lim,Workers' Party,Chinese,Female,MP,14,Backbencher,,,,,,
Tan Chuan-Jin,People's Action Party,Chinese,Male,MP,14,Backbencher,,,,,,
Tan Kiat How,People's Action Party,Chinese,Male,MP,14,Cabinet,PMO,National Development,,Minister of State,Minister of State,
Tan See Leng,People's Action Party,Chinese,Male,MP,14,Cabinet,PMO,Manpower,Trade and Industry,Minister,Second Minister,Second Minister
Tan Wu Meng,People's Action Party,Chinese,Male,MP,14,Backbencher,,,,,,
Teo Chee Hean,People's Action Party,Chinese,Male,MP,14,Cabinet,PMO,,,Coordinating Minister for National Security,Senior Minister,
Tharman Shanmugaratnam,People's Action Party,Indian,Male,MP,14,Cabinet,PMO,,,Coordinating Minister for Social Policies,Senior Minister,
Tin Pei Ling,People's Action Party,Chinese,Female,MP,14,Backbencher,Communications & Information,"Culture, Community and Youth",,GPC Chairperson,GPC Member,
Vikram Nair,People's Action Party,Indian,Male,MP,14,Backbencher,,,,,,
Vivian Balakrishnan,People's Action Party,Indian,Male,MP,14,Cabinet,Foreign Affairs,,,Minister,,
Wan Rizal,People's Action Party,Malay,Male,MP,14,Backbencher,,,,,,
Xie Yao Quan,People's Action Party,Chinese,Male,MP,14,Backbencher,,,,,,
Yeo Wan Ling,People's Action Party,Chinese,Female,MP,14,Backbencher,,,,,,
Yip Hon Weng,People's Action Party,Chinese,Male,MP,14,Backbencher,,,,,,
Zaqy Mohamad,People's Action Party,Malay,Male,MP,14,Cabinet,Manpower,Defence,,Senior Minister of State,Senior Minister of State,
Zhulkarnain Abdul Rahim,People's Action Party,Malay,Male,MP,14,Backbencher,Defence,Foreign Affairs,Law,GPC Member,GPC Member,GPC Deputy Chairperson
