level_4,level_1,perc,value,diff
Yunnan,Chinese,67.54126110876005,74.30281284039214,-6.761551731632082
Yunnan,Malays,20.186203977994076,13.351957454988147,6.834246523005929
Yunnan,Indians,10.63619692481309,9.0948933171013,1.5413036077117894
Yunnan,Others,1.636337988432783,3.250336387518421,-1.6139983990856377
Yuhua West,Chinese,70.77144226161955,74.30281284039214,-3.531370578772581
Yuhua West,Malays,15.62050790608529,13.351957454988147,2.268550451097143
Yuhua West,Indians,11.020603737422137,9.0948933171013,1.9257104203208364
Yuhua West,Others,2.5874460948730236,3.250336387518421,-0.6628902926453972
Yuhua East,Chinese,73.38915180196578,74.30281284039214,-0.9136610384263548
Yuhua East,Malays,13.614852566436111,13.351957454988147,0.26289511144796407
Yuhua East,Indians,10.921004732435383,9.0948933171013,1.8261114153340827
Yuhua East,Others,2.074990899162723,3.250336387518421,-1.1753454883556977
Yishun West,Chinese,68.75107963378821,74.30281284039214,-5.551733206603927
Yishun West,Malays,18.172395923302815,13.351957454988147,4.820438468314668
Yishun West,Indians,10.433580929348766,9.0948933171013,1.3386876122474654
Yishun West,Others,2.6429435135602004,3.250336387518421,-0.6073928739582204
Yishun South,Chinese,74.35633367662204,74.30281284039214,0.05352083622990733
Yishun South,Malays,12.770339855818744,13.351957454988147,-0.5816175991694035
Yishun South,Indians,10.324407826982492,9.0948933171013,1.2295145098811915
Yishun South,Others,2.548918640576725,3.250336387518421,-0.7014177469416958
Yishun East,Chinese,68.67140513942044,74.30281284039214,-5.6314077009716925
Yishun East,Malays,19.13613996719519,13.351957454988147,5.784182512207044
Yishun East,Indians,9.75031893566612,9.0948933171013,0.65542561856482
Yishun East,Others,2.442135957718243,3.250336387518421,-0.8082004298001779
Yishun Central,Chinese,80.0,74.30281284039214,5.697187159607864
Yishun Central,Malays,9.333333333333334,13.351957454988147,-4.018624121654813
Yishun Central,Indians,8.666666666666668,9.0948933171013,-0.4282266504346328
Yishun Central,Others,2.0,3.250336387518421,-1.2503363875184208
Yio Chu Kang West,Chinese,81.16051243406179,74.30281284039214,6.8576995936696505
Yio Chu Kang West,Malays,8.553127354935945,13.351957454988147,-4.798830100052202
Yio Chu Kang West,Indians,7.761868877166542,9.0948933171013,-1.3330244399347588
Yio Chu Kang West,Others,2.5244913338357198,3.250336387518421,-0.725845053682701
Yio Chu Kang East,Chinese,88.50855745721272,74.30281284039214,14.205744616820581
Yio Chu Kang East,Indians,7.334963325183375,9.0948933171013,-1.759929991917926
Yio Chu Kang East,Others,2.93398533007335,3.250336387518421,-0.31635105744507097
Yio Chu Kang East,Malays,1.2224938875305624,13.351957454988147,-12.129463567457584
Yew Tee,Chinese,74.12491420727522,74.30281284039214,-0.1778986331169108
Yew Tee,Malays,14.481811942347289,13.351957454988147,1.1298544873591414
Yew Tee,Indians,8.098833218943033,9.0948933171013,-0.9960600981582672
Yew Tee,Others,3.2944406314344548,3.250336387518421,0.04410424391603396
Xilin,Chinese,83.85416666666666,74.30281284039214,9.551353826274521
Xilin,Indians,7.291666666666667,9.0948933171013,-1.8032266504346337
Xilin,Others,5.208333333333334,3.250336387518421,1.9579969458149131
Xilin,Malays,3.6458333333333335,13.351957454988147,-9.706124121654813
Woodleigh,Chinese,90.1639344262295,74.30281284039214,15.861121585837367
Woodleigh,Indians,4.918032786885246,9.0948933171013,-4.176860530216055
Woodleigh,Others,4.098360655737705,3.250336387518421,0.8480242682192838
Woodleigh,Malays,0.819672131147541,13.351957454988147,-12.532285323840606
Woodlands West,Chinese,58.69300911854103,74.30281284039214,-15.609803721851108
Woodlands West,Malays,28.44984802431611,13.351957454988147,15.097890569327964
Woodlands West,Indians,10.820668693009118,9.0948933171013,1.7257753759078174
Woodlands West,Others,2.0364741641337383,3.250336387518421,-1.2138622233846825
Woodlands South,Chinese,60.5916829472509,74.30281284039214,-13.711129893141234
Woodlands South,Malays,25.48144013396595,13.351957454988147,12.129482678977803
Woodlands South,Indians,10.91264303656154,9.0948933171013,1.8177497194602399
Woodlands South,Others,3.014233882221602,3.250336387518421,-0.23610250529681887
Woodlands East,Chinese,63.40697309182285,74.30281284039214,-10.895839748569287
Woodlands East,Malays,22.573552507590826,13.351957454988147,9.221595052602678
Woodlands East,Indians,11.23442571458486,9.0948933171013,2.13953239748356
Woodlands East,Others,2.7850486860014656,3.250336387518421,-0.4652877015169552
Woodgrove,Chinese,63.80368098159509,74.30281284039214,-10.499131858797043
Woodgrove,Malays,23.257110987172336,13.351957454988147,9.905153532184189
Woodgrove,Indians,10.401561628555493,9.0948933171013,1.3066683114541924
Woodgrove,Others,2.5376464026770775,3.250336387518421,-0.7126899848413433
Western Water Catchment,Chinese,82.02247191011236,74.30281284039214,7.7196590697202225
Western Water Catchment,Indians,10.112359550561797,9.0948933171013,1.017466233460496
Western Water Catchment,Others,7.865168539325842,3.250336387518421,4.614832151807422
West Coast,Chinese,89.81324278438031,74.30281284039214,15.510429943988171
West Coast,Indians,5.093378607809847,9.0948933171013,-4.001514709291453
West Coast,Others,4.4142614601018675,3.250336387518421,1.1639250725834467
West Coast,Malays,0.6791171477079796,13.351957454988147,-12.672840307280168
Wenya,Chinese,67.51740139211137,74.30281284039214,-6.785411448280769
Wenya,Malays,16.70533642691415,13.351957454988147,3.353378971926004
Wenya,Indians,12.761020881670534,9.0948933171013,3.6661275645692335
Wenya,Others,3.0162412993039442,3.250336387518421,-0.23409508821447655
Waterway East,Chinese,75.37050105857446,74.30281284039214,1.067688218182326
Waterway East,Malays,15.84333098094566,13.351957454988147,2.4913735259575134
