,Division,Type,Name,lat,long,Ward,lat_ward,lon_ward,newName,Party,Age,Years_In_Politics,Ethnicity,Gender,Grassroots_Experience,First_Occupation,Previous_Occupation,Previous/Current_Role,Previous_Employer,Title,Parliament,Type.1,Ministry_1,Ministry_2,Ministry_3,Title_1,Title_2,Title_3,Defence,Foreign Affairs,Health,Transport,Sustainability and the Environment,Social & Family Development,Communications & Information,"Culture, Community and Youth",Education,Trade and Industry,Manpower,Finance,PMO,Law,National Development,Home Affairs,Age_group,X,Y,color,color1,color2,color4,color3,X1,Y1,code
10,BISHAN-TOA PAYOH,GRC,Chong Kee Hiong,103.83200104426263,1.3457748681686967,Bishan East-Sin Ming,103.84600309423759,1.3520744376432272,Chong_Kee_Hiong,People's Action Party,54,5,Chinese,Male,Yes,Infrastructure (Transport/Telecomms/Real Estate),Infrastructure (Transport/Telecomms/Real Estate),CEO,Suntec Real Estate Investment Trust,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50 - 55,-0.12708008,0.2553535,"rgb(255,69,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-1.0813463,1.1843966,0000000000000000
11,HOLLAND-BUKIT TIMAH,GRC,Christopher de Souza,103.78784256612474,1.3658475267644983,Ulu Pandan,103.78771975845918,1.3223018858125244,Christopher_de_Souza,People's Action Party,44,14,Eurasian,Male,No,Law,Law,Partner,Lee & Lee,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 - 45,1.5089751,0.49955702,"rgb(0,128,128)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,255,255)",-0.334086,-1.0874829,0000000000000000
12,ANG MO KIO,GRC,Darryl David,103.86714718048466,1.3952294508760836,Ang Mo Kio-Hougang,103.88556604801842,1.3747192877017245,Darryl_David,People's Action Party,49,5,Indian,Male,Yes,Other(HR/Management),Education,Senior Management,Temasek Polytechnic,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45 - 50,-0.8927024,1.4302851,"rgb(255,228,225)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(255,0,0)",-2.448627,1.4311966,0000000000000000
13,JALAN BESAR,GRC,Denise Phua,103.85724253059061,1.3002027735192085,Kampong Glam,103.85486069613209,1.306386798062017,Denise_Phua,People's Action Party,60,14,Chinese,Female,Yes,Entrepreneur,Social Enterprise/Charity,CEO,Autism Resource Centre,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55 - 60,1.6760882,-1.0705543,"rgb(0,100,0)","rgb(199,21,133)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,0,255)",1.6832988,-0.19683605,0000000000000000
14,HOUGANG,SMC,Dennis Tan,103.89490791126292,1.3684003047158164,HOUGANG SMC,103.89482420513835,1.3683548638568561,Dennis_Tan,Workers' Party,49,5,Chinese,Male,No,Law,Law,Partner,DennisMathiew,MP,14,Opposition,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45 - 50,0.27706552,0.6778667,"rgb(0,128,128)","rgb(139,0,0)","rgb(199,21,133)","rgb(139,0,0)","rgb(0,0,255)",-0.7486168,0.089112066,0000000000000000
15,NEE SOON,GRC,Derrick Goh,103.83152640469943,1.4237399423174648,Nee Soon Link,103.8432231975667,1.412356102605638,Derrick_Goh,People's Action Party,52,0,Chinese,Male,Yes,Finance,Finance,Senior Management,DBS,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50 - 55,-0.053308338,-0.9451769,"rgb(47,79,79)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",0.9938436,1.4400356,0000000000000000
16,TAMPINES,GRC,Desmond Choo,103.94152145341093,1.3594384514422568,Tampines Changkat,103.95481137119745,1.3506162376878281,Desmond_Choo,People's Action Party,42,9,Chinese,Male,No,Military or Police Force,Public Service (Labour),Senior Management,NTUC,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 - 45,-0.19224757,0.41029236,"rgb(199,21,133)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-0.28927082,1.3160468,0000000000000000
17,WEST COAST,GRC,Desmond Lee,103.70596113525787,1.2890019271367006,Boon Lay,103.7088464472036,1.3440653394381143,Desmond_Lee,People's Action Party,44,9,Chinese,Male,No,Law,Law,Senior Management,NTUC,MP,14,Cabinet,Social & Family Development,National Development,,Minister,Minister,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,40 - 45,1.218898,1.0656903,"rgb(0,128,128)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-0.3065905,-0.5241231,0000010000000010
18,PASIR RIS-PUNGGOL,GRC,Desmond Tan,103.93133564966094,1.3897010798327318,Pasir Ris Central,103.95005814484539,1.3725792191034134,Desmond_Tan,People's Action Party,50,0,Chinese,Male,Yes,Military or Police Force,Public Service (Social/Healthcare),Brigadier-General.,SAF,MP,14,Cabinet,Sustainability and the Environment,Home Affairs,,Minister of State,Minister of State,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,45 - 50,-1.7346823,-1.2341021,"rgb(0,0,255)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",0.47467467,2.653861,0000100000000001
19,CHUA CHU KANG,GRC,Don Wee,103.70446433188243,1.394100444743376,Brickland,103.74646446104543,1.375056248391964,Don_Wee,People's Action Party,43,0,Chinese,Male,Yes,Finance,Finance,Senior Management,DBS,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 - 45,-0.24370278,-1.0220802,"rgb(47,79,79)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",0.9926306,1.5281434,0000000000000000
20,HOLLAND-BUKIT TIMAH,GRC,Edward Chia,103.78784256612474,1.3658475267644983,Zhenghua,103.78882377948007,1.3841403199788909,Edward_Chia,People's Action Party,36,0,Chinese,Male,No,Entrepreneur,Entrepreneur,CEO,Timbr,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35 - 40,-0.9032637,-1.2157179,"rgb(0,0,0)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",1.3394071,2.550258,0000000000000000
21,MARINE PARADE,GRC,Edwin Tong,103.90294501309562,1.323185931283781,Joo Chiat,103.92122193052307,1.3127719558699762,Edwin_Tong,People's Action Party,51,9,Chinese,Male,No,Law,Law,Partner,Allen & Gledhill LLP,MP,14,Cabinet,"Culture, Community and Youth",Law,,Minister,Minister,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,50 - 55,1.1916617,1.1380816,"rgb(0,128,128)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-0.25849548,-0.4288926,0000000100000100
22,TANJONG PAGAR,GRC,Eric Chua,103.82305861072145,1.3016850069672519,Queenstown,103.80478234808884,1.2917204524927777,Eric_Chua,People's Action Party,41,0,Chinese,Male,Yes,Military or Police Force,Military or Police Force,Colonel,SCDF,MP,14,Cabinet,"Culture, Community and Youth",Social & Family Development,,Parliamentary Secretaries,Parliamentary Secretaries,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,40 - 45,-1.4509531,-0.83030975,"rgb(50,205,50)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",0.46949136,2.1972928,0000010100000000
23,WEST COAST,GRC,Foo Mee Har,103.70596113525787,1.2890019271367006,Ayer Rajah-Gek Poh,103.67489285380051,1.2775199186056319,Foo_Mee_Har,People's Action Party,54,9,Chinese,Female,No,Finance,Finance,Senior Management,Standard Chartered,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50 - 55,1.0082078,-1.0355345,"rgb(47,79,79)","rgb(139,0,0)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,0,255)",1.4155082,0.6615346,0000000000000000
24,CHUA CHU KANG,GRC,Gan Kim Yong,103.70446433188243,1.394100444743376,Chua Chu Kang,103.75257991705556,1.3822433550443556,Gan_Kim_Yong,People's Action Party,61,19,Chinese,Male,Yes,IT/Engineering,IT/Engineering,CEO,NatSteel,MP,14,Cabinet,Health,,,Minister,Minister,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60 - 65,0.9607305,2.1649384,"rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-1.8667752,0.16214454,0010000000000000
25,MARYMOUNT,SMC,Gan Siow Huang,103.84275212493193,1.3577485419506994,MARYMOUNT SMC,103.84278992828146,1.3577888726019463,Gan_Siow_Huang,People's Action Party,45,0,Chinese,Female,No,Military or Police Force,Military or Police Force,Brigadier-General.,SAF,MP,14,Cabinet,Education,Manpower,,Minister of State,Minister of State,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,40 - 45,-0.84875953,-2.2816973,"rgb(50,205,50)","rgb(139,0,0)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,0,255)",2.0617948,1.1510363,0000000010100000
26,ANG MO KIO,GRC,Gan Thiam Poh,103.86714718048466,1.3952294508760836,Fernvale,103.8775573107961,1.394255564167299,Gan_Thiam_Poh,People's Action Party,56,9,Chinese,Male,Yes,Finance,Finance,Senior Management,DBS,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55 - 60,0.5022931,-0.37469682,"rgb(47,79,79)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",0.47693154,0.8057242,0000000000000000
27,ALJUNIED,GRC,Gerald Giam,103.90292967503645,1.355507088429944,Bedok Reservoir-Punggol,103.91182608078519,1.3579342433102157,Gerald_Giam,Workers' Party,42,9,Chinese,Male,Yes,IT/Engineering,Entrepreneur,CTO,-,MP,14,Opposition,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 - 45,0.13537672,-0.0612999,"rgb(0,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(139,0,0)","rgb(0,0,255)",-0.17790654,0.5900464,0000000000000000
28,YUHUA,SMC,Grace Fu,103.7381961001556,1.3394543577877986,YUHUA SMC,103.73817709164335,1.3394943105151746,Grace_Fu,People's Action Party,56,14,Chinese,Female,No,Infrastructure (Transport/Telecomms/Real Estate),Infrastructure (Transport/Telecomms/Real Estate),Senior Management,PSA Corporation,MP,14,Cabinet,Sustainability and the Environment,,,Member of Parliament,Member of Parliament,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55 - 60,1.7183822,-0.8397801,"rgb(255,69,0)","rgb(139,0,0)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,0,255)",1.3694979,-0.24260393,0000100000000000
29,MARSILING-YEW TEE,GRC,Hany Soh,103.76572659755615,1.4232251406725156,Woodgrove,103.7837467250862,1.4229708569246156,Hany_Soh,People's Action Party,33,0,Chinese,Female,Yes,Law,Law,Director,MSC Law Corporation,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Less than 35,1.2606452,-2.0485418,"rgb(0,128,128)","rgb(199,21,133)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,0,255)",1.5630606,-1.3447104,0000000000000000
