Name,Party,Ethnicity,Gender,Type,Parliament
Abdul Aziz Karim,People's Action Party,Malay,Male,MP,2
"Cheong Yuen Chee, Eric",People's Action Party,Chinese,Male,MP,2
Chiang Hai Ding,People's Action Party,Chinese,Male,MP,2
Ch'ng Jit Koon,People's Action Party,Chinese,Male,MP,2
Chua Sian Chin,People's Action Party,Chinese,Male,MP,2
"Conceicao, J.F.",People's Action Party,Eurasian,Male,MP,2
"Govindasamy, N.",People's Action Party,Indian,Male,MP,2
Hon Sui Sen,People's Action Party,Chinese,Male,MP,2
Hwang Soo Jin,People's Action Party,Chinese,Male,MP,2
Lee Chiaw Meng,People's Action Party,Chinese,Male,MP,2
Low Guan Onn,People's Action Party,Chinese,Male,MP,2
Low Yong Nguan,People's Action Party,Chinese,Male,MP,2
Mohd Ghazali Bin Ismail,People's Action Party,Malay,Male,MP,2
Ong Soo Chuan,People's Action Party,Chinese,Male,MP,2
Phua Bah Lee,People's Action Party,Chinese,Male,MP,2
"Rodrigo, L.P.",People's Action Party,Eurasian,Male,MP,2
Seah Mui Kok,People's Action Party,Chinese,Male,MP,2
Sha'ari Bin Tadin,People's Action Party,Malay,Male,MP,2
Sia Khoon Seong,People's Action Party,Chinese,Male,MP,2
Tan H.H. Augustine,People's Action Party,Chinese,Male,MP,2
Wong Lin Ken,People's Action Party,Chinese,Male,MP,2
Yeo Choo Kok,People's Action Party,Chinese,Male,MP,2
Yeo Toon Chia,People's Action Party,Chinese,Male,MP,2
A. Rahim Ishak,People's Action Party,Malay,Male,MP,3
Ang Nam Piau,People's Action Party,Chinese,Male,MP,3
"Barker, E.W.",People's Action Party,Eurasian,Male,MP,3
Chan Chee Seng,People's Action Party,Chinese,Male,MP,3
Chor Yeok Eng,People's Action Party,Chinese,Male,MP,3
Fong Sip Chee,People's Action Party,Chinese,Male,MP,3
Goh Keng Swee,People's Action Party,Chinese,Male,MP,3
"Govindaswamy, P.",People's Action Party,Indian,Male,MP,3
Ho Cheng Choon,People's Action Party,Chinese,Male,MP,3
Ho Kah Leong,People's Action Party,Chinese,Male,MP,3
Ho See Beng,People's Action Party,Chinese,Male,MP,3
Jek Yeun Thong,People's Action Party,Chinese,Male,MP,3
Lee Khoon Choy,People's Action Party,Chinese,Male,MP,3
Lee Kuan Yew,People's Action Party,Chinese,Male,MP,3
Lim Guan Hoo,People's Action Party,Chinese,Male,MP,3
Lim Kim San,People's Action Party,Chinese,Male,MP,3
"Mohd Ariff Bin Suradi, Haji",People's Action Party,Malay,Male,MP,3
Ng Kah Ting,People's Action Party,Chinese,Male,MP,3
Ng Yeow Chong,People's Action Party,Chinese,Male,MP,3
Ong Pang Boon,People's Action Party,Chinese,Male,MP,3
Othman Bin Wok,People's Action Party,Malay,Male,MP,3
Rahmat Bin Kenap,People's Action Party,Malay,Male,MP,3
"Rajaratnam, S",People's Action Party,Indian,Male,MP,3
"Selvadurai, P.",People's Action Party,Indian,Male,MP,3
Sia Kah Hui,People's Action Party,Chinese,Male,MP,3
Sim Boon Woo,People's Action Party,Chinese,Male,MP,3
Tang See Chim,People's Action Party,Chinese,Male,MP,3
Tay Boon Too,People's Action Party,Chinese,Male,MP,3
Teong Eng Siong,People's Action Party,Chinese,Male,MP,3
Toh Chin Chye,People's Action Party,Chinese,Male,MP,3
Wee Toon Boon,People's Action Party,Chinese,Male,MP,3
Yaacob Bin Mohamed,People's Action Party,Malay,Male,MP,3
Yeoh Ghim Seng,People's Action Party,Chinese,Male,MP,3
Yong Nyuk Lin,People's Action Party,Chinese,Male,MP,3
Abdul Aziz Karim,People's Action Party,Malay,Male,MP,3
"Cheong Yuen Chee, Eric",People's Action Party,Chinese,Male,MP,3
Chiang Hai Ding,People's Action Party,Chinese,Male,MP,3
Ch'ng Jit Koon,People's Action Party,Chinese,Male,MP,3
Chua Sian Chin,People's Action Party,Chinese,Male,MP,3
"Conceicao, J.F.",People's Action Party,Eurasian,Male,MP,3
"Govindasamy, N.",People's Action Party,Indian,Male,MP,3
Hon Sui Sen,People's Action Party,Chinese,Male,MP,3
Hwang Soo Jin,People's Action Party,Chinese,Male,MP,3
Lee Chiaw Meng,People's Action Party,Chinese,Male,MP,3
Ong Soo Chuan,People's Action Party,Chinese,Male,MP,3
Phua Bah Lee,People's Action Party,Chinese,Male,MP,3
"Rodrigo, L.P.",People's Action Party,Eurasian,Male,MP,3
Seah Mui Kok,People's Action Party,Chinese,Male,MP,3
Sha'ari Bin Tadin,People's Action Party,Malay,Male,MP,3
Sia Khoon Seong,People's Action Party,Chinese,Male,MP,3
Tan H.H. Augustine,People's Action Party,Chinese,Male,MP,3
Wong Lin Ken,People's Action Party,Chinese,Male,MP,3
Yeo Choo Kok,People's Action Party,Chinese,Male,MP,3
Yeo Toon Chia,People's Action Party,Chinese,Male,MP,3
Ahmad Mattar,People's Action Party,Malay,Male,MP,3
Ang Kok Peng,People's Action Party,Chinese,Male,MP,3
Ivan Baptist,People's Action Party,Eurasian,Male,MP,3
Chai Chong Yii,People's Action Party,Chinese,Male,MP,3
Chin Harn Tong,People's Action Party,Chinese,Male,MP,3
Lai Tai Chai,People's Action Party,Chinese,Male,MP,3
Lee Yiok Seng,People's Action Party,Chinese,Male,MP,3
Ong Leong Boon,People's Action Party,Chinese,Male,MP,3
Ong Teng Cheong,People's Action Party,Chinese,Male,MP,3
Phey Yew Kok,People's Action Party,Chinese,Male,MP,3
Tan Eng Liang,People's Action Party,Chinese,Male,MP,3
A. Rahim Ishak,People's Action Party,Malay,Male,MP,4
Ang Nam Piau,People's Action Party,Chinese,Male,MP,4
"Barker, E.W.",People's Action Party,Eurasian,Male,MP,4
Chan Chee Seng,People's Action Party,Chinese,Male,MP,4
Chor Yeok Eng,People's Action Party,Chinese,Male,MP,4
Fong Sip Chee,People's Action Party,Chinese,Male,MP,4
Goh Keng Swee,People's Action Party,Chinese,Male,MP,4
"Govindaswamy, P.",People's Action Party,Indian,Male,MP,4
Ho Cheng Choon,People's Action Party,Chinese,Male,MP,4
Ho Kah Leong,People's Action Party,Chinese,Male,MP,4
Ho See Beng,People's Action Party,Chinese,Male,MP,4
Jek Yeun Thong,People's Action Party,Chinese,Male,MP,4
Lee Khoon Choy,People's Action Party,Chinese,Male,MP,4
Lee Kuan Yew,People's Action Party,Chinese,Male,MP,4
Lim Guan Hoo,People's Action Party,Chinese,Male,MP,4
Lim Kim San,People's Action Party,Chinese,Male,MP,4
Ng Kah Ting,People's Action Party,Chinese,Male,MP,4
Ng Yeow Chong,People's Action Party,Chinese,Male,MP,4
Ong Pang Boon,People's Action Party,Chinese,Male,MP,4
Othman Bin Wok,People's Action Party,Malay,Male,MP,4
Rahmat Bin Kenap,People's Action Party,Malay,Male,MP,4
"Rajaratnam, S",People's Action Party,Indian,Male,MP,4
"Selvadurai, P.",People's Action Party,Indian,Male,MP,4
Sia Kah Hui,People's Action Party,Chinese,Male,MP,4
Tang See Chim,People's Action Party,Chinese,Male,MP,4
Teong Eng Siong,People's Action Party,Chinese,Male,MP,4
Toh Chin Chye,People's Action Party,Chinese,Male,MP,4
Yaacob Bin Mohamed,People's Action Party,Malay,Male,MP,4
Yeoh Ghim Seng,People's Action Party,Chinese,Male,MP,4
Yong Nyuk Lin,People's Action Party,Chinese,Male,MP,4
"Cheong Yuen Chee, Eric",People's Action Party,Chinese,Male,MP,4
Chiang Hai Ding,People's Action Party,Chinese,Male,MP,4
Ch'ng Jit Koon,People's Action Party,Chinese,Male,MP,4
Chua Sian Chin,People's Action Party,Chinese,Male,MP,4
"Conceicao, J.F.",People's Action Party,Eurasian,Male,MP,4
"Govindasamy, N.",People's Action Party,Indian,Male,MP,4
Hon Sui Sen,People's Action Party,Chinese,Male,MP,4
Hwang Soo Jin,People's Action Party,Chinese,Male,MP,4
Lee Chiaw Meng,People's Action Party,Chinese,Male,MP,4
Ong Soo Chuan,People's Action Party,Chinese,Male,MP,4
Phua Bah Lee,People's Action Party,Chinese,Male,MP,4
Seah Mui Kok,People's Action Party,Chinese,Male,MP,4
Sha'ari Bin Tadin,People's Action Party,Malay,Male,MP,4
Sia Khoon Seong,People's Action Party,Chinese,Male,MP,4
Tan H.H. Augustine,People's Action Party,Chinese,Male,MP,4
