year,constituency,constituency_type,candidates,party,vote_count,vote_percentage
1959,Bukit Timah,na,Yaacob bin Mohamed,PAP,6174,0.6114
1959,Cairnhill,na,Lim Yew Hock,SPA,5275,0.4822
1959,Cairnhill,na,David Marshall,WP,2920,0.2669
1959,Cairnhill,na,Md. Oh Su Chen,PAP,2262,0.2068
1959,Cairnhill,na,Tan Keng Siong,LSP,483,0.0441
1959,Changi,na,Teo Hock Guan,PAP,3480,0.351
1959,Changi,na,A. B. Rahman H. M. Said,PKMS,2818,0.2843
1959,Changi,na,Lim Cher Kheng,Independent,2225,0.2245
1959,Changi,na,Wee Tin Teck,LSP,1024,0.1033
1959,Changi,na,Fatimah Nor Bt. G. S.,Independent,366,0.0369
1959,Choa Chu Kang,na,Goh Tong Liang,SPA,1183,0.1883
1959,Choa Chu Kang,na,Neo Koon Hin,Independent,1563,0.2488
1959,Choa Chu Kang,na,Ong Chang Sam,PAP,3536,0.5629
1959,Crawford,na,K. M. Byrne,PAP,7120,0.6657
1959,Crawford,na,Chua Seng Kian,LSP,897,0.0839
1959,Crawford,na,Sim John,Independent,191,0.0179
1959,Crawford,na,Teng Ling Siong,SPA,2487,0.2325
1959,Delta,na,Chan Choy Sun,PAP,9301,0.6945
1959,Delta,na,Chia Chee Buang,PKMS,1212,0.0905
1959,Delta,na,Lim Ah Lee,LSP,2308,0.1723
1959,Delta,na,Munusamy Nadarajah,SPA,571,0.0427
1959,Farrer Park,na,A. P. Rajah,Independent,4077,0.4452
1959,Farrer Park,na,Chan Kooi Chew,Independent,311,0.034
1959,Farrer Park,na,Joseph A.,Independent,147,0.0161
1959,Farrer Park,na,Soo-Tho Sin Hee,Independent,789,0.0862
1959,Farrer Park,na,Tan Teck Ngiap alias Chen Ta-Ren,PAP,3832,0.4185
1959,Geylang East,na,Mak Pak Shee,Independent,842,0.0611
1959,Geylang East,na,Mohamed Ismail bin Abdul Rahim,PAP,7153,0.5195
1959,Geylang East,na,Ng Cheng Chwee,SPA,5775,0.4194
1959,Geylang Serai,na,Abdul Hamid bin Haji Jumat,PKMS,7940,0.6309
1959,Geylang Serai,na,Harun bin Mohamed Amin,PRSSD,353,0.028
1959,Geylang Serai,na,Roshan bin Hassan,PAP,3832,0.3045
1959,Geylang Serai,na,Syed Ahmad Dahlan,PMIP,460,0.0366
1959,Geylang West,na,Kwek Sam Hock,SPA,4276,0.324
1959,Geylang West,na,Yong Nyuk Lin,PAP,8923,0.676
1959,Havelock,na,Lau Peter,PAP,9227,0.636
1959,Havelock,na,K. S. Loke,PKMS,433,0.0298
1959,Havelock,na,Ng See Thong,Independent,3562,0.2455
1959,Havelock,na,Tan Ah Pak,LSP,323,0.0223
1959,Havelock,na,Tan Theng Chiang,SPA,963,0.0664
1959,Hong Lim,na,Loh Ngian Lim,PKMS,1192,0.1039
1959,Hong Lim,na,Ong Eng Guan,PAP,8834,0.7702
1959,Hong Lim,na,Sim Wee Teck,SPA,588,0.0513
1959,Hong Lim,na,Tan Hong Chye,LSP,856,0.0746
1959,Jalan Besar,na,Chan Chee Seng,PAP,7600,0.6248
1959,Jalan Besar,na,Lo Ka Fat,LSP,1488,0.1223
1959,Jalan Besar,na,See Eng Kiat,SLF,503,0.0414
1959,Jalan Besar,na,Wong Yew Hon,SPA,2573,0.2115
1959,Jalan Kayu,na,M. P. D. Nair,SPA,2929,0.3772
1959,Jalan Kayu,na,Tan Cheng Tong,PAP,4837,0.6228
1959,Joo Chiat,na,Henry Chong,Independent,320,0.0239
1959,Joo Chiat,na,Fong Kim Heng,PAP,5301,0.3963
1959,Joo Chiat,na,Gay Wan Guay,LSP,1215,0.0908
1959,Joo Chiat,na,C. H. Koh,SPA,6136,0.4587
1959,Joo Chiat,na,Low Teck Cheng,KURA,405,0.0303
1959,Jurong,na,Aman B. H. Subri,Independent,168,0.0264
1959,Jurong,na,Chia Yeck Poh,LSP,375,0.0589
1959,Jurong,na,Chor Yeok Eng,PAP,4502,0.7067
1959,Jurong,na,Wong Tuck Leong,SPA,1325,0.208
1959,Kallang,na,Buang bin Omar Junid,PAP,5690,0.4818
1959,Kallang,na,Seah Peng Chuan,CP,1154,0.0977
1959,Kallang,na,Tan Hai Tong,SPA,4967,0.4205
1959,Kampong Glam,na,Mahmood Latiff,SPA,1747,0.1803
1959,Kampong Glam,na,Ong Eng Lian,LSP,1377,0.1421
1959,Kampong Glam,na,S. Rajaratnam,PAP,6324,0.6527
1959,Kampong Glam,na,Wu Shiaw,Independent,241,0.0249
1959,Kampong Kapor,na,Chia Ban Wei,SPA,3632,0.3253
1959,Kampong Kapor,na,Choo Yeok Koon,Independent,432,0.0387
1959,Kampong Kapor,na,Jaganathan S,Independent,711,0.0637
1959,Kampong Kapor,na,G. Kandasamy,PAP,6059,0.5427
1959,Kampong Kapor,na,Yen Jen San,CP,330,0.0296
1959,Kampong Kembangan,na,Mohd. Ali b. Alwi,PKMS,4443,0.3886
1959,Kampong Kembangan,na,Othman b. Wok,PAP,4199,0.3673
1959,Kampong Kembangan,na,A. Latiff b. Ibrahim,PRSSD,231,0.0202
1959,Kampong Kembangan,na,Jaffar b. Abdul Ghani,Independent,215,0.0188
1959,Kampong Kembangan,na,Mohd. b. Hj. Yacob,SPA,2028,0.1774
1959,Kampong Kembangan,na,H. M. Yahiya,PMIP,317,0.0277
1959,Kreta Ayer,na,Goh Keng Swee,PAP,9313,0.7335
1959,Kreta Ayer,na,Pang Man Ming,LSP,3384,0.2665
