year,constituency,constituency_type,candidates,party,vote_count,vote_percentage
1963,Queenstown,na,Lee Khee Loong,SA,798,0.0516
1963,Queenstown,na,Ng Ho,UPP,909,0.0588
1963,River Valley,na,Chung Kit Wong,UPP,455,0.0461
1963,River Valley,na,Goh Lam San,BS,2668,0.2701
1963,River Valley,na,Lim Cheng Lock,PAP,5597,0.5667
1963,River Valley,na,Yap Pheng Geck,SA,1156,0.1171
1963,Rochore,na,Lee Siew Choh,BS,4926,0.4475
1963,Rochore,na,Pan Tiek Tai,UPP,1067,0.0969
1963,Rochore,na,Toh Chin Chye,PAP,5015,0.4556
1963,Sembawang,na,Chen Poh Chang,BS,3591,0.4043
1963,Sembawang,na,Low Seng Wan,UPP,348,0.0392
1963,Sembawang,na,Appavoo P.,SA,1197,0.1348
1963,Sembawang,na,Teong Eng Siong,PAP,3745,0.4217
1963,Sepoy Lines,na,Goh Su Chiang,SA,793,0.0844
1963,Sepoy Lines,na,Ong Chang Sam,BS,3147,0.3351
1963,Sepoy Lines,na,Tan Choon Sing,UPP,545,0.058
1963,Sepoy Lines,na,Wee Toon Boon,PAP,4907,0.5225
1963,Serangoon Gardens,na,Choy Kok Wah,SA,455,0.0545
1963,Serangoon Gardens,na,R. A. Gonzales,PAP,4456,0.534
1963,Serangoon Gardens,na,Ng Hui Sim,BS,2698,0.3233
1963,Serangoon Gardens,na,Ng Teo Joo,UPP,736,0.0882
1963,Siglap,na,A. Rahim Ishak,PAP,9342,0.6212
1963,Siglap,na,Koh Tee Kin,Independent,225,0.015
1963,Siglap,na,Ong Jin Teck,UPP,1365,0.0908
1963,Siglap,na,Soo Ban Hoe,SA,1488,0.0989
1963,Siglap,na,Tay Check Yaw,PRSSD,2618,0.1741
1963,Southern Islands,na,Ahmad Jabri b. Akib,SA,2224,0.4459
1963,Southern Islands,na,Yaacob bin Mohamed,PAP,2764,0.5541
1963,Stamford,na,Fong Sip Chee,PAP,5781,0.5327
1963,Stamford,na,Lim Chung Min,UPP,771,0.071
1963,Stamford,na,Lal Behari Singh,SA,582,0.0536
1963,Stamford,na,Teo Hock Guan,BS,3719,0.3427
1963,Tampines,na,Goh Chew Chua,PAP,3601,0.2913
